;70;71;7;14;23;72;2;13;39;73;20;25;54;11;38;57;74;59;68;63;9;75;6;4;76;28;18;77;22;78;24;65;29;58;79;3;5;43;64;50;21;19;10;17;15;80;81;31;32;56;34;36;41;35;42;37;8
70;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;0,3;;;;;;;;;;;;;0,2;;;;;;;;;;;;;
71;0,3;;0,2;0,1;;;;0,1;;;;;;0,3;;;;;;0,1;;;;0,3;;;;;;;;;;;0,1;;;;;0,4;;;;;;;;;;;;;;;;;
7;0,2;;;;;;;;;;0,1;;;;0,3;;;;;;;;;;0,4;;;;0,2;;0,2;;;;0,4;;0,4;0,1;0,1;;;;0,1;;0,4;0,2;;;0,4;;;0,3;;;;;
14;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;0,4;0,3;0,2;;;;0,4;;;;;;;;;;0,1;;;0,3;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;
72;;0,3;;;;;;;;;;;0,1;;;0,1;;;;;;;;;;;0,4;0,1;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;
2;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;0,1;;0,4;;;;;;;;;0,1;;;0,2;;;;;;;0,2;;;;0,1;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;
39;;;0,4;;;;;;;;;;;;;;;0,3;;;;0,4;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;;;0,1;;;;;;;;;;;;0,2;;0,3;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;
20;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;0,4;;;;;;;0,1;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;
54;;;;;0,3;;0,1;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;0,2;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;0,3;;;;;;;0,3;;;;;;;;;;;;;;
38;;;;;0,1;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;;0,4;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;;;;;;0,3;;;;;;;;;0,4;0,4;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;
59;;;;;;0,2;;;;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;0,1;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
